Date,Country,Inflation
2023-08-01,Australia,5.2
2023-09-01,Australia,5.6
2023-10-01,Australia,4.9
2023-11-01,Australia,4.3
2023-12-01,Australia,3.4
2024-01-01,Australia,3.4
2024-02-01,Australia,3.4
2024-03-01,Australia,3.5
2024-04-01,Australia,3.6
2024-05-01,Australia,4.0
2024-06-01,Australia,3.8
2024-07-01,Australia,3.5
2024-08-01,Australia,2.7
2024-09-01,Australia,2.1
2024-10-01,Australia,2.1
2024-11-01,Australia,2.3
2024-12-01,Australia,2.5
2025-01-01,Australia,2.5
2025-02-01,Australia,2.4
2025-03-01,Australia,2.4
2025-04-01,Australia,2.4
2025-05-01,Australia,2.1
2023-08-01,Bangladesh,9.92
2023-09-01,Bangladesh,9.63
2023-10-01,Bangladesh,9.93
2023-11-01,Bangladesh,9.49
2023-12-01,Bangladesh,9.41
2024-01-01,Bangladesh,9.85599925
2024-02-01,Bangladesh,9.66800646
2024-03-01,Bangladesh,9.80764001
2024-04-01,Bangladesh,9.73513965
2024-05-01,Bangladesh,9.8869178
2024-06-01,Bangladesh,9.71652167
2024-07-01,Bangladesh,11.66
2024-08-01,Bangladesh,10.49
2024-09-01,Bangladesh,9.92
2024-10-01,Bangladesh,10.87
2024-11-01,Bangladesh,11.38
2024-12-01,Bangladesh,10.89
2025-01-01,Bangladesh,9.9392789
2025-02-01,Bangladesh,9.31942188
2025-03-01,Bangladesh,9.35348748
2025-04-01,Bangladesh,9.166011
2025-05-01,Bangladesh,9.05137017
2025-06-01,Bangladesh,8.47891321
2023-08-01,Brazil,4.60817015
2023-09-01,Brazil,5.18528053
2023-10-01,Brazil,4.81918498
2023-11-01,Brazil,4.68356594
2023-12-01,Brazil,4.62119001
2024-01-01,Brazil,4.50679122
2024-02-01,Brazil,4.49637136
2024-03-01,Brazil,3.92561202
2024-04-01,Brazil,3.68797547
2024-05-01,Brazil,3.92601661
2024-06-01,Brazil,4.22765937
2024-07-01,Brazil,4.49839081
2024-08-01,Brazil,4.23773955
2024-09-01,Brazil,4.42478801
2024-10-01,Brazil,4.75811182
2024-11-01,Brazil,4.87295024
2024-12-01,Brazil,4.83119675
2025-01-01,Brazil,4.55972901
2025-02-01,Brazil,5.05761741
2025-03-01,Brazil,5.47725043
2025-04-01,Brazil,5.52990179
2025-05-01,Brazil,5.31979396
2025-06-01,Brazil,5.35128524
2023-08-01,Canada,3.99737877
2023-09-01,Canada,3.79829731
2023-10-01,Canada,3.12093628
2023-11-01,Canada,3.11688312
2023-12-01,Canada,3.39647289
2024-01-01,Canada,2.85899935
2024-02-01,Canada,2.78317152
2024-03-01,Canada,2.89761751
2024-04-01,Canada,2.68542199
2024-05-01,Canada,2.86624204
2024-06-01,Canada,2.67175573
2024-07-01,Canada,2.53004428
2024-08-01,Canada,1.95337114
2024-09-01,Canada,1.64037855
2024-10-01,Canada,2.01765448
2024-11-01,Canada,1.88916877
2024-12-01,Canada,1.83196462
2025-01-01,Canada,1.89513582
2025-02-01,Canada,2.64483627
2025-03-01,Canada,2.31539424
2025-04-01,Canada,1.74346202
2025-05-01,Canada,1.73374613
2025-06-01,Canada,1.85873606
2023-08-01,China,0.1
2023-09-01,China,0.0
2023-10-01,China,-0.2
2023-11-01,China,-0.5
2023-12-01,China,-0.3
2024-01-01,China,-0.8
2024-02-01,China,0.7
2024-03-01,China,0.1
2024-04-01,China,0.3
2024-05-01,China,0.3
2024-06-01,China,0.2
2024-07-01,China,0.5
2024-08-01,China,0.6
2024-09-01,China,0.4
2024-10-01,China,0.3
2024-11-01,China,0.2
2024-12-01,China,0.1
2025-01-01,China,0.5
2025-02-01,China,-0.7
2025-03-01,China,-0.1
2025-04-01,China,-0.1
2025-05-01,China,-0.1
2025-06-01,China,0.1
2023-08-01,European Union,5.9450458
2023-09-01,European Union,4.94406055
2023-10-01,European Union,3.62648061
2023-11-01,European Union,3.10372771
2023-12-01,European Union,3.44211723
2024-01-01,European Union,3.09587487
2024-02-01,European Union,2.82889978
2024-03-01,European Union,2.60516252
2024-04-01,European Union,2.57323832
2024-05-01,European Union,2.72259596
2024-06-01,European Union,2.62846318
2024-07-01,European Union,2.80322173
2024-08-01,European Union,2.42848161
2024-09-01,European Union,2.08512973
2024-10-01,European Union,2.32521726
2024-11-01,European Union,2.52298986
2024-12-01,European Union,2.68403704
2025-01-01,European Union,2.80638315
2025-02-01,European Union,2.67291911
2025-03-01,European Union,2.52348785
2025-04-01,European Union,2.41605558
2025-05-01,European Union,2.2189691
2025-06-01,European Union,2.33810183
2023-08-01,India,6.82730924
2023-09-01,India,5.01996577
2023-10-01,India,4.86700623
2023-11-01,India,5.55240793
2023-12-01,India,5.69151964
2024-01-01,India,5.09915014
2024-02-01,India,5.09049774
2024-03-01,India,4.85327314
2024-04-01,India,4.82874789
2024-05-01,India,4.80178671
2024-06-01,India,5.08287293
2024-07-01,India,3.59634997
2024-08-01,India,3.65198711
2024-09-01,India,5.48614883
2024-10-01,India,6.20615219
2024-11-01,India,5.47504026
2024-12-01,India,5.22347873
2025-01-01,India,4.25876011
2025-02-01,India,3.60602799
2025-03-01,India,3.33692142
2025-04-01,India,3.16014997
2025-05-01,India,2.82365477
2025-06-01,India,2.10304942
2023-08-01,Indonesia,3.44621514
2023-09-01,Indonesia,2.29127741
2023-10-01,Indonesia,2.63909404
2023-11-01,Indonesia,2.97993706
2023-12-01,Indonesia,2.80602268
2024-01-01,Indonesia,2.57435397
2024-02-01,Indonesia,2.75425791
2024-03-01,Indonesia,3.04883969
2024-04-01,Indonesia,3.00096805
2024-05-01,Indonesia,2.84250218
2024-06-01,Indonesia,2.50771605
2024-07-01,Indonesia,2.12745476
2024-08-01,Indonesia,2.11823609
2024-09-01,Indonesia,1.83618535
2024-10-01,Indonesia,1.70776168
2024-11-01,Indonesia,1.54713017
2024-12-01,Indonesia,1.56918688
2025-01-01,Indonesia,0.76052857
2025-02-01,Indonesia,-0.09471491
2025-03-01,Indonesia,1.02704231
2025-04-01,Indonesia,1.94548872
2025-05-01,Indonesia,1.59819498
2025-06-01,Indonesia,1.8724125
2023-08-01,Japan,3.11587147
2023-09-01,Japan,3.00678952
2023-10-01,Japan,3.27868852
2023-11-01,Japan,2.88739172
2023-12-01,Japan,2.59365994
2024-01-01,Japan,2.10124164
2024-02-01,Japan,2.78846154
2024-03-01,Japan,2.68199234
2024-04-01,Japan,2.47383444
2024-05-01,Japan,2.85442436
2024-06-01,Japan,2.85171103
2024-07-01,Japan,2.743614
2024-08-01,Japan,3.0217186
2024-09-01,Japan,2.54237288
2024-10-01,Japan,2.24089636
2024-11-01,Japan,2.89990645
2024-12-01,Japan,3.65168539
2025-01-01,Japan,4.02245089
2025-02-01,Japan,3.64826941
2025-03-01,Japan,3.6380597
2025-04-01,Japan,3.52831941
2025-05-01,Japan,3.42275671
2025-06-01,Japan,3.23475046
2023-08-01,Malaysia,1.950078
2023-09-01,Malaysia,1.94855807
2023-10-01,Malaysia,1.78849145
2023-11-01,Malaysia,1.47286822
2023-12-01,Malaysia,1.54798762
2024-01-01,Malaysia,1.46718147
2024-02-01,Malaysia,1.77195686
2024-03-01,Malaysia,1.77059276
2024-04-01,Malaysia,1.84615385
2024-05-01,Malaysia,1.9969278
2024-06-01,Malaysia,1.99386503
2024-07-01,Malaysia,1.99233716
2024-08-01,Malaysia,1.91277735
2024-09-01,Malaysia,1.83486239
2024-10-01,Malaysia,1.90985485
2024-11-01,Malaysia,1.83346066
2024-12-01,Malaysia,1.67682927
2025-01-01,Malaysia,1.67427702
2025-02-01,Malaysia,1.51400454
2025-03-01,Malaysia,1.43721634
2025-04-01,Malaysia,1.43504532
2025-05-01,Malaysia,1.20481928
2023-08-01,Mexico,4.63801362
2023-09-01,Mexico,4.4544878
2023-10-01,Mexico,4.25700054
2023-11-01,Mexico,4.32391247
2023-12-01,Mexico,4.66088964
2024-01-01,Mexico,4.88392913
2024-02-01,Mexico,4.40076223
2024-03-01,Mexico,4.42093949
2024-04-01,Mexico,4.65321004
2024-05-01,Mexico,4.68676806
2024-06-01,Mexico,4.97605566
2024-07-01,Mexico,5.56616369
2024-08-01,Mexico,4.99285962
2024-09-01,Mexico,4.58038733
2024-10-01,Mexico,4.76154017
2024-11-01,Mexico,4.54867055
2024-12-01,Mexico,4.21233937
2025-01-01,Mexico,3.58503987
2025-02-01,Mexico,3.77390953
2025-03-01,Mexico,3.80114124
2025-04-01,Mexico,3.93342068
2025-05-01,Mexico,4.41877289
2025-06-01,Mexico,4.31742871
2023-08-01,Philippines,5.33104041
2023-09-01,Philippines,6.07876712
2023-10-01,Philippines,4.91942324
2023-11-01,Philippines,4.11764706
2023-12-01,Philippines,3.93634841
2024-01-01,Philippines,2.80065898
2024-02-01,Philippines,3.37726524
2024-03-01,Philippines,3.71593724
2024-04-01,Philippines,3.80479735
2024-05-01,Philippines,3.88751034
2024-06-01,Philippines,3.71593724
2024-07-01,Philippines,4.37293729
2024-08-01,Philippines,3.34693878
2024-09-01,Philippines,1.937046
2024-10-01,Philippines,2.26354082
2024-11-01,Philippines,2.50201776
2024-12-01,Philippines,2.90088638
2025-01-01,Philippines,2.88461538
2025-02-01,Philippines,2.07171315
2025-03-01,Philippines,1.75159236
2025-04-01,Philippines,1.43426295
2025-05-01,Philippines,1.27388535
2025-06-01,Philippines,1.43312102
2023-08-01,Russian Federation,5.15
2023-09-01,Russian Federation,6.0
2023-10-01,Russian Federation,6.69
2023-11-01,Russian Federation,7.48
2023-12-01,Russian Federation,7.42
2024-01-01,Russian Federation,7.44
2024-02-01,Russian Federation,7.69
2024-03-01,Russian Federation,7.72
2024-04-01,Russian Federation,7.84
2024-05-01,Russian Federation,8.3
2024-06-01,Russian Federation,8.59
2024-07-01,Russian Federation,9.13
2024-08-01,Russian Federation,9.05
2024-09-01,Russian Federation,8.63
2024-10-01,Russian Federation,8.54
2024-11-01,Russian Federation,8.88
2024-12-01,Russian Federation,9.52
2025-01-01,Russian Federation,9.92
2025-02-01,Russian Federation,10.06
2025-03-01,Russian Federation,10.34
2025-04-01,Russian Federation,10.23
2025-05-01,Russian Federation,9.88
2025-06-01,Russian Federation,9.4
2023-08-01,Singapore,4.05844672
2023-09-01,Singapore,4.13477555
2023-10-01,Singapore,4.76210638
2023-11-01,Singapore,3.57666988
2023-12-01,Singapore,3.75139919
2024-01-01,Singapore,3.11155661
2024-02-01,Singapore,3.57914192
2024-03-01,Singapore,3.01677825
2024-04-01,Singapore,2.63964736
2024-05-01,Singapore,3.1158354
2024-06-01,Singapore,2.51830611
2024-07-01,Singapore,2.46466223
2024-08-01,Singapore,2.1734264
2024-09-01,Singapore,1.89216004
2024-10-01,Singapore,1.15686948
2024-11-01,Singapore,1.59804874
2024-12-01,Singapore,1.49631467
2025-01-01,Singapore,1.1706092
2025-02-01,Singapore,0.92426445
2025-03-01,Singapore,0.88956194
2025-04-01,Singapore,0.86194758
2025-05-01,Singapore,0.76739614
2023-08-01,South Africa,4.81927711
2023-09-01,South Africa,5.36105033
2023-10-01,South Africa,5.99781897
2023-11-01,South Africa,5.54347826
2023-12-01,South Africa,5.20043337
2024-01-01,South Africa,5.42299349
2024-02-01,South Africa,5.59741658
2024-03-01,South Africa,5.32481363
2024-04-01,South Africa,5.20169851
2024-05-01,South Africa,5.19067797
2024-06-01,South Africa,5.07399577
2024-07-01,South Africa,4.61215933
2024-08-01,South Africa,4.38871473
2024-09-01,South Africa,3.84215992
2024-10-01,South Africa,2.77777778
2024-11-01,South Africa,2.88362513
2024-12-01,South Africa,2.98661174
2025-01-01,South Africa,3.18930041
2025-02-01,South Africa,3.16004077
2025-03-01,South Africa,2.73003033
2025-04-01,South Africa,2.82542886
2025-05-01,South Africa,2.81973817
2023-08-01,South Korea,3.36002946
2023-09-01,South Korea,3.70336335
2023-10-01,South Korea,3.76511543
2023-11-01,South Korea,3.30980105
2023-12-01,South Korea,3.17591067
2024-01-01,South Korea,2.81638957
2024-02-01,South Korea,3.12698269
2024-03-01,South Korea,3.10351068
2024-04-01,South Korea,2.92497969
2024-05-01,South Korea,2.67254567
2024-06-01,South Korea,2.41093919
2024-07-01,South Korea,2.55189145
2024-08-01,South Korea,2.01282508
2024-09-01,South Korea,1.59503766
2024-10-01,South Korea,1.25364174
2024-11-01,South Korea,1.52644657
2024-12-01,South Korea,1.93382418
2025-01-01,South Korea,2.24441106
2025-02-01,South Korea,2.02144489
2025-03-01,South Korea,2.05353225
2025-04-01,South Korea,2.07876502
2025-05-01,South Korea,1.90184049
2025-06-01,South Korea,2.16971188
2023-08-01,Thailand,0.88264794
2023-09-01,Thailand,0.30024019
2023-10-01,Thailand,-0.31917016
2023-11-01,Thailand,-0.42944173
2023-12-01,Thailand,-0.83932854
2024-01-01,Thailand,-1.10590814
2024-02-01,Thailand,-0.7680798
2024-03-01,Thailand,-0.480048
2024-04-01,Thailand,0.18967755
2024-05-01,Thailand,1.53846154
2024-06-01,Thailand,0.61969015
2024-07-01,Thailand,0.81967213
2024-08-01,Thailand,0.35792404
2024-09-01,Thailand,0.61863899
2024-10-01,Thailand,0.8304983
2024-11-01,Thailand,0.94282849
2024-12-01,Thailand,1.23941959
2025-01-01,Thailand,1.31976627
2025-02-01,Thailand,1.07559308
2025-03-01,Thailand,0.84413627
2025-04-01,Thailand,-0.21921084
2025-05-01,Thailand,-0.57437116
2025-06-01,Thailand,-0.24833615
2023-08-01,United Kingdom,6.7
2023-09-01,United Kingdom,6.7
2023-10-01,United Kingdom,4.6
2023-11-01,United Kingdom,3.9
2023-12-01,United Kingdom,4.0
2024-01-01,United Kingdom,4.0
2024-02-01,United Kingdom,3.4
2024-03-01,United Kingdom,3.2
2024-04-01,United Kingdom,2.3
2024-05-01,United Kingdom,2.0
2024-06-01,United Kingdom,2.0
2024-07-01,United Kingdom,2.2
2024-08-01,United Kingdom,2.2
2024-09-01,United Kingdom,1.7
2024-10-01,United Kingdom,2.3
2024-11-01,United Kingdom,2.6
2024-12-01,United Kingdom,2.5
2025-01-01,United Kingdom,3.0
2025-02-01,United Kingdom,2.8
2025-03-01,United Kingdom,2.6
2025-04-01,United Kingdom,3.5
2025-05-01,United Kingdom,3.4
2025-06-01,United Kingdom,3.6
2023-08-01,United States,3.66511238
2023-09-01,United States,3.69969812
2023-10-01,United States,3.24114465
2023-11-01,United States,3.13727071
2023-12-01,United States,3.35212283
2024-01-01,United States,3.09088478
2024-02-01,United States,3.15317112
2024-03-01,United States,3.47738507
2024-04-01,United States,3.35736395
2024-05-01,United States,3.26902906
2024-06-01,United States,2.97139711
2024-07-01,United States,2.8947532
2024-08-01,United States,2.5307303
2024-09-01,United States,2.44063303
2024-10-01,United States,2.5979049
2024-11-01,United States,2.7493804
2024-12-01,United States,2.88805722
2025-01-01,United States,3.00048311
2025-02-01,United States,2.82154895
2025-03-01,United States,2.39072525
2025-04-01,United States,2.31128886
2025-05-01,United States,2.35489654
2025-06-01,United States,2.66921302
2023-08-01,Vietnam,2.95742582
2023-09-01,Vietnam,3.65660611
2023-10-01,Vietnam,3.59139713
2023-11-01,Vietnam,3.44827005
2023-12-01,Vietnam,3.58101077
2024-01-01,Vietnam,3.37120199
2024-02-01,Vietnam,3.97640901
2024-03-01,Vietnam,3.96942682
2024-04-01,Vietnam,4.42
2024-05-01,Vietnam,4.44414048
2024-06-01,Vietnam,4.3377874
2024-07-01,Vietnam,4.3590798
2024-08-01,Vietnam,3.45
2024-09-01,Vietnam,2.63336474
2024-10-01,Vietnam,2.8907629
2024-11-01,Vietnam,2.76657369
2024-12-01,Vietnam,2.94168981
2025-01-01,Vietnam,3.62956934
2025-02-01,Vietnam,2.91314823
2025-03-01,Vietnam,3.12615934
2025-04-01,Vietnam,3.12348002
2025-05-01,Vietnam,3.24253181
2025-06-01,Vietnam,3.56659066
